TOPIC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
prototyping,0,0,0,1,0,0,2,1,0,3,1,2,9,3,6,4,1,7,3,6,4,5,4,8,6,4,9,5,8,8,6,8,5,16,23,19,25,31,34
authentication,0,0,4,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,2,2,2,1,7,4,7,5,10,16,14,16,19,14,17,24,27,23,29,26
visualization tools,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,6,6,3,2,3,9,5,5,8,11,13,10,12,10,16,19,18,25,18,21,15,24
text processing,0,0,4,2,0,0,2,2,1,0,2,1,1,0,1,1,3,2,4,2,5,7,3,12,18,9,11,7,15,9,15,12,21,16,21,15,16,17,17
usability testing,0,0,0,0,0,1,1,0,0,0,0,1,7,5,9,6,8,13,5,8,10,9,11,13,15,12,19,11,15,11,9,13,13,9,6,7,16,4,7
telecommunication equipment,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,8,7,8,6,15,15,17,19,15,13,13,17,26,9,16,20,19,21
web page,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,16,14,12,8,19,13,10,8,13,8,12,8,18,15,23,14,12,3,4,10,8,8
personal information,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,2,1,3,3,0,10,11,10,16,9,16,15,16,12,10,15,14,10,29,21,18
keyboard,0,0,2,4,0,1,1,0,1,1,0,1,1,3,2,2,0,2,1,2,4,7,4,10,6,9,12,8,9,10,9,14,16,22,17,13,23,17,17
wireless technologies,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,1,5,3,7,8,4,9,16,13,9,12,19,9,11,17,22,13,13,20,15,17
feedback system,0,0,1,2,0,0,2,1,0,1,0,0,2,1,2,0,2,4,4,2,2,3,1,4,2,6,4,11,8,12,15,13,16,19,16,18,21,20,29
cloud computing,0,0,3,0,0,0,0,1,1,0,0,0,1,2,3,6,10,5,10,11,10,7,10,10,6,6,9,7,7,5,7,12,10,13,8,19,15,10,20
formal logic,0,0,8,3,0,3,2,4,5,5,4,2,3,7,6,2,5,5,7,6,3,4,2,2,7,7,6,10,5,5,6,13,4,16,10,10,16,22,14
antenna,0,0,1,0,0,0,0,3,1,0,0,1,3,3,2,1,0,1,4,3,3,2,2,2,3,7,5,7,13,12,11,19,14,10,12,26,20,27,18
radio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,10,7,17,12,12,6,14,15,11,11,12,14,8,10,11,7,9,16,10,10
personalization,0,0,1,0,0,0,0,0,0,0,0,1,1,2,3,0,3,4,3,3,4,4,6,3,4,7,7,5,7,15,8,11,10,15,19,24,16,20,23
intelligent systems,0,0,27,5,0,2,3,2,1,3,4,2,3,3,6,4,9,4,5,3,4,3,5,6,2,9,4,4,7,12,10,17,6,11,6,7,8,15,7
information retrieval systems,0,0,1,1,0,0,1,0,2,4,1,3,4,10,4,6,7,9,5,4,9,6,6,5,6,8,8,6,9,17,14,9,14,8,11,11,3,6,10
