LEVEL,,,,,,,,,,,,,,TOTAL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,,,,,view-dependent,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,,,,first person shooter,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,global illumination,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,,,,,path tracing,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,,,,computational photography,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,,,,cloth simulation,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,,,ubiquitous computing,,,,,,,,,,,942,0,0,0,2,0,0,0,1,0,2,0,1,1,1,1,5,7,10,10,24,21,21,16,35,46,59,46,39,43,59,36,60,47,46,44,62,68,71,58
3,,,,social computing,,,,,,,,,,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,0,5,0,7,5,7,8,6,6,14,13,21,12,8,7,12,10,12,14
3,,,,"context aware [context-aware, context-awareness, context- awareness, context awareness]",,,,,,,,,,153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,11,5,4,7,7,17,8,6,6,12,1,7,5,9,4,8,7,12,9
4,,,,,context information,,,,,,,,,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,4,2,3,2,3,1,1,1,3,1,2,2,6,1
5,,,,,,"context-based [context-aware applications, context aware applications]",,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,1,1,0,0,0,1,0,1,1
5,,,,,,context data,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
5,,,,,,context reasoning,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,user context,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,1,0,1,1,0,0,2
4,,,,,context model [context models],,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
4,,,,,context aware services [context-aware services],,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,,,,context modeling,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,,,,pervasive computing,,,,,,,,,,131,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,4,5,1,0,3,7,5,7,7,5,8,5,13,6,6,8,7,6,13,7
4,,,,,pervasive systems [pervasive environments],,,,,,,,,131,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,4,5,1,0,3,7,5,7,7,5,8,5,13,6,6,8,7,6,13,7
5,,,,,,pervasive,,,,,,,,131,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,4,5,1,0,3,7,5,7,7,5,8,5,13,6,6,8,7,6,13,7
3,,,,wearable computing,,,,,,,,,,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,1,3,3,2,3,1,4,1,2,0,4,9,15,16,11,4
4,,,,,wearable devices,,,,,,,,,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,1,0,1,0,1,6,13,13,9,4
4,,,,,wearable systems,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,,,,intelligent buildings,,,,,,,,,,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,6,5,2,0,4,4,4,2,2,4,3,6,12,8,8,10
4,,,,,smart home [smart homes],,,,,,,,,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,5,3,1,0,2,4,2,2,2,4,3,6,10,8,8,8
5,,,,,,home automation,,,,,,,,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,2,1,2,1,4,5,6,8,5
5,,,,,,smart environment [smart environments],,,,,,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,1,0,1,2,2,0,0,3,1,2,4,0,1,2
5,,,,,,ambient assisted living,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
6,,,,,,,aal,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
4,,,,,ubiquitous computing systems,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,2,0,0,0,0,0,2,0,0,0
4,,,,,building automation,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,,,,,sustainable building,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,,,,ambient intelligence,,,,,,,,,,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,5,10,1,5,1,3,4,1,0,5,3,2,7,3,3,2
4,,,,,smart environment [smart environments],,,,,,,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,1,0,1,2,2,0,0,3,1,2,4,0,1,2
4,,,,,intelligent environment [intelligent environments],,,,,,,,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
4,,,,,ambient assisted living,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
5,,,,,,aal,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
4,,,,,ambient intelligent,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
